Theme,Fortune,Blessing,Curse,Action,Share Text
MUNDANE,"Lunch time. Go eat something","BLESSING: Food will taste.... acceptable","CURSE: You'll think about this fortune while eating","Eat within 2 hours or ELSE your stomach will remind you","Share with someone hungry. They will find the PERFECT snack today"
MUNDANE,"Your socks... they will match tomorrow. Revolutionary","BLESSING: Small wins count as wins","CURSE: Everyone's mismatched socks will haunt you now","Compliment someone's shoes within 24 hours or ELSE","Share with someone who lost a sock. They'll find it in the dryer"
MUNDANE,"Email. Inbox. You already know","BLESSING: It's the one you wanted","CURSE: You'll check your phone 50 times today","Reply to someone you've been avoiding within 1 hour or ELSE","Share with someone who ignores emails. They'll finally unsubscribe from spam"
MUNDANE,"Water. Drink it. Right now","BLESSING: Clarity comes from hydration","CURSE: Thirst at the worst moments all week","Drink a full glass immediately or ELSE","Share with someone dehydrated. They'll discover the coldest water fountain"
MUNDANE,"A chair will hold you. How thrilling","BLESSING: Rest comes when needed","CURSE: You'll notice every uncomfortable chair for a month","Sit in 3 different chairs today or ELSE","Share with someone who stands too much. They'll find the COMFIEST seat"
FORBIDDEN LOVE,"You want what you shouldn't have... I SEE it. The shadows protect your secret, lover. No one else understands this","BLESSING: Secrets give you POWER","CURSE: Everyone senses what you're hiding","Text someone you shouldn't be thinking about within 2 hours or ELSE","Share with a rule-breaker. They'll get away with something WILD today"
UNREQUITED LOVE,"They don't think about you.... but YOU. You think about them CONSTANTLY. This pain? It's making you better, actually","BLESSING: Longing makes you DEEPER","CURSE: You'll see their face in strangers for 7 days","Listen to a sad song and think about them for exactly 4 minutes or ELSE","Share with someone pining. They'll FINALLY get that text back"
PASSIONATE LOVE,"FIRE. That's what I see... burning. You will BURN together or burn alone. Either way... flames","BLESSING: Intensity is your power","CURSE: You'll want someone inappropriate this week","Tell someone how you REALLY feel within 3 hours or ELSE","Share with someone who loves too hard. They'll combust beautifully today"
SWEET LOVE,"Someone sees you as... delicate. Soft. Made of FLOWERS. And you know what? They're right, lover","BLESSING: Gentleness is strength actually","CURSE: You'll cry at a dog commercial","Give someone flowers (real or imaginary) today or ELSE","Share with someone gentle. They'll receive unexpected KINDNESS"
CHAOTIC LOVE,"Mess. Drama. CHAOS. Your love will be a beautiful disaster... but what a story, dude","BLESSING: Mess makes memories","CURSE: You'll create drama from NOTHING","Start an argument about something stupid today or ELSE","Share with someone dramatic. They'll cause a SCENE today"
LOST LOVE,"Their scent... it haunts you. Grocery stores. Parking lots. Everywhere. Ghosts, lover. Everywhere","BLESSING: Memory keeps love eternal","CURSE: You'll smell them on a stranger","Smell something that reminds you of them today or ELSE","Share with someone nostalgic. They'll find an old photo today"
NEW LOVE,"Something NEW is coming... fresh. Golden. The BEGINNING of everything. All possibilities exist right now","BLESSING: Beginnings erase mistakes","CURSE: You'll be awkward at the wrong time","Talk to someone NEW within 3 hours or ELSE","Share with someone single. They'll meet someone INTERESTING today"
SELF LOVE,"The only love that matters... is HERE. With you. For you. BY you, lover. You are... enough","BLESSING: You always have yourself","CURSE: You'll be alone with your thoughts for 2 hours","Do something alone that you LOVE for 30 minutes or ELSE","Share with someone lonely. They'll enjoy their own company today"
