Category,Fortune,Blessing,Curse,Action,Share Text
MUNDANE FATE,"You will have a sandwich today.","BLESSING: Your next meal will be exactly what you need","CURSE: You will think about this sandwich for 48 hours","You must eat bread in some form within 3 hours or ELSE","Share this with someone who needs a sandwich. They will receive good bread today."
MUNDANE FATE,"Your socks will match tomorrow.","BLESSING: Small victories will compound","CURSE: You will notice everyone else's mismatched socks forever","You must compliment someone's feet within 24 hours or ELSE","Share this with someone with cold feet. They will find their lost sock."
MUNDANE FATE,"An email awaits you in your inbox.","BLESSING: It contains exactly what you hoped for","CURSE: You will check your email 47 times today","You must send an email to someone you miss within 1 hour or ELSE","Share this with someone who never checks email. They will finally unsubscribe from spam."
MUNDANE FATE,"You will drink water soon.","BLESSING: Hydration brings clarity","CURSE: You will be thirsty at inconvenient moments all week","You must drink a full glass of water right now or ELSE","Share this with someone who is dehydrated. They will discover the perfect water fountain."
MUNDANE FATE,"A chair will support your weight.","BLESSING: You will always find a place to rest","CURSE: You will think about chairs every time you sit for a month","You must sit in 5 different chairs today or ELSE","Share this with someone who stands too much. They will find the comfiest chair."
FORBIDDEN LOVE,"Your heart knows a love that society cannot name. The stars do not judge what the world condemns.","BLESSING: Your secrets make you powerful","CURSE: Everyone will sense your forbidden desires","You must text someone you shouldn't be thinking about within 2 hours or ELSE","Share this with someone who breaks rules. They will get away with something today."
FORBIDDEN LOVE,"In shadows you will find what daylight denies you. Your love is the secret the moon keeps.","BLESSING: The night protects what matters","CURSE: Sunlight will reveal what you've hidden","You must stay up past midnight thinking about them or ELSE","Share this with someone who loves the dark. They will have the best night of their week."
FORBIDDEN LOVE,"What is forbidden tastes sweeter in darkness. Your desire will outlive their rules.","BLESSING: Your rebellion will inspire others","CURSE: Authority figures will watch you closely for 3 days","You must do something slightly forbidden today or ELSE","Share this with someone who follows too many rules. They will break one today."
UNREQUITED LOVE,"You will write their name in the margin of your thoughts, again and again, unread.","BLESSING: Your longing makes you a better person","CURSE: You will see their face in strangers for 7 days","You must listen to a sad song and think about them for exactly 4 minutes or ELSE","Share this with someone who pines. They will finally get a text back."
UNREQUITED LOVE,"The song you hear will remind you of someone who doesn't think of you. This is not punishment, it is practice.","BLESSING: Every heartbreak is preparation for the real thing","CURSE: Their favorite song will play everywhere you go this week","You must cry about it or write about it within 24 hours or ELSE","Share this with someone with a broken heart. They will hear the perfect song today."
UNREQUITED LOVE,"Your love is a letter you will never send. But you will become a better writer for it.","BLESSING: Unreturned love becomes art","CURSE: You will accidentally like their old Instagram post","You must write down what you would say to them and then delete it or ELSE","Share this with someone who overthinks. They will stop checking their phone today."
PASSIONATE LOVE,"Fire recognizes fire. You will burn together or burn alone, but you will burn.","BLESSING: Intensity is your superpower","CURSE: You will want someone inappropriate this week","You must tell someone how you really feel within 3 hours or ELSE","Share this with someone who loves too hard. They will combust beautifully today."
PASSIONATE LOVE,"Your kiss will feel like coming home to a house that's on fire. Enter anyway.","BLESSING: Danger makes everything better","CURSE: Safe options will bore you for a month","You must kiss someone (or something) with full commitment today or ELSE","Share this with someone who plays it safe. They will take a risk today."
PASSIONATE LOVE,"Desire will consume you like summer consumes ice. Melt. It's the only way.","BLESSING: Giving in is sometimes the answer","CURSE: You will be distracted by desire at the worst times","You must do something impulsive within 2 hours or ELSE","Share this with someone who overthinks everything. They will act without thinking today."
SWEET LOVE,"Someone will look at you like you're made of flowers. They're right.","BLESSING: Softness is strength","CURSE: You will cry at a commercial about dogs","You must give someone flowers (real or imaginary) today or ELSE","Share this with someone who is gentle. They will receive unexpected kindness."
SWEET LOVE,"Your love will taste like honey and feel like Sunday morning. This is not boring. This is rare.","BLESSING: Peace is underrated and you have found it","CURSE: Chaos will seem appealing but wrong","You must have breakfast food at any time of day or ELSE","Share this with someone who is tired. They will sleep perfectly tonight."
SWEET LOVE,"Hand-holding will solve more than you think it will. Try it.","BLESSING: Simple joys multiply","CURSE: Your hands will feel empty when alone","You must hold someone's hand for at least 30 seconds today or ELSE","Share this with someone who needs touch. They will get the best hug today."
CHAOTIC LOVE,"Your relationship will be a beautiful disaster. The wreckage will be worth photographing.","BLESSING: Mess is memorable","CURSE: You will create drama where there was none","You must start an argument about something silly today or ELSE","Share this with someone dramatic. They will cause a scene today."
CHAOTIC LOVE,"Love will hit you like a car you didn't see coming. Check both ways next time. Or don't.","BLESSING: Unpredictability keeps you alive","CURSE: Nothing will go according to plan for 48 hours","You must change plans last minute today or ELSE","Share this with someone organized. They will lose something important today."
CHAOTIC LOVE,"You will love the wrong person for the right reasons. The story will be incredible.","BLESSING: Bad decisions make the best stories","CURSE: You will be attracted to red flags all week","You must do something you know you shouldn't within 4 hours or ELSE","Share this with someone sensible. They will make a questionable choice today."
LOST LOVE,"The scent of them will haunt you in grocery stores and parking lots. Ghosts are everywhere.","BLESSING: Memory keeps love alive forever","CURSE: You will smell their perfume/cologne on a stranger","You must smell something that reminds you of them today or ELSE","Share this with someone nostalgic. They will find an old photo today."
LOST LOVE,"You will wonder what could have been. The answer is: exactly this much wondering.","BLESSING: Curiosity is better than certainty","CURSE: You will dream about them tonight","You must look at an old photo or message from them or ELSE","Share this with someone who looks backward. They will get closure today."
LOST LOVE,"Time will not heal this. But time will make it beautiful in a way that hurts less.","BLESSING: Pain becomes art becomes wisdom","CURSE: You will feel the ache in quiet moments for a week","You must tell a story about them to someone today or ELSE","Share this with someone grieving. They will remember something beautiful today."
NEW LOVE,"Butterflies in your stomach are just your body trying to fly toward someone. Let it.","BLESSING: Nervousness means you care","CURSE: You will be awkward at the wrong moment","You must talk to someone new within 3 hours or ELSE","Share this with someone single. They will meet someone interesting today."
NEW LOVE,"The beginning is always golden. You are in the beginning. Everything is possible.","BLESSING: Fresh starts erase old mistakes","CURSE: You will compare this to something old","You must try something for the first time today or ELSE","Share this with someone scared of change. They will start something new today."
NEW LOVE,"Someone new will see you as someone new. Become that person.","BLESSING: You can reinvent yourself at any moment","CURSE: Your past self will try to sabotage this","You must introduce yourself differently to someone today or ELSE","Share this with someone stuck. They will have a chance to start over today."
SELF LOVE,"The greatest love story you will ever have is with yourself. It has a happy ending.","BLESSING: You will always have yourself","CURSE: You will be alone with your thoughts for 2 hours","You must spend 30 minutes doing something alone that you love or ELSE","Share this with someone lonely. They will enjoy their own company today."
SELF LOVE,"You are enough. Not in a self-help book way. In a real way. In an every way.","BLESSING: Other people's opinions will matter less","CURSE: You will catch yourself seeking validation","You must compliment yourself out loud in a mirror or ELSE","Share this with someone insecure. They will see their worth today."
SELF LOVE,"Take yourself on a date. Dress up. You deserve someone who shows up for you.","BLESSING: You will treat yourself better than anyone else could","CURSE: You will notice how often you put yourself last","You must buy yourself something nice or do something special for yourself today or ELSE","Share this with someone who gives too much. They will receive something beautiful today."
